,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,3.832B,3.832B,1.857B,1.975B,1.459B,0.00,174.00M,,-174.00M,,1.459B,516.00M,,174.00M,-174.00M,-6.00M,-174.00M,336.00M,20.00M,313.00M,,-13.00M,300.00M,300.00M,1.284B,774.00M,510.00M,,0.4487,,0.4487,0.4487,,0.44,,0.44,0.44,,668.62M,681.20M,,AOR,
2020-09,3.786B,3.786B,1.868B,1.918B,1.412B,36.00M,174.00M,,-174.00M,,1.412B,506.00M,,174.00M,-174.00M,49.00M,-174.00M,381.00M,124.00M,276.00M,,-12.00M,264.00M,239.70M,1.342B,787.00M,555.00M,,0.39,,0.3537,0.39,,0.39,,0.3543,0.39,,669.80M,680.30M,,AOR,
2020-06,3.465B,3.465B,1.92B,1.545B,1.377B,-3.00M,174.00M,,-174.00M,,1.377B,168.00M,,174.00M,-174.00M,-2.00M,-174.00M,-8.00M,-27.00M,9.00M,,-7.00M,2.00M,4.19M,983.00M,817.00M,166.00M,,0.0030,,0.0063,0.0030,,0.0029,,0.0062,0.0029,,670.00M,680.80M,,AOR,
2020-03,3.769B,3.769B,2.167B,1.602B,1.404B,431.00M,187.00M,,-187.00M,,1.404B,198.00M,,187.00M,-187.00M,451.00M,-187.00M,462.00M,79.00M,377.00M,,15.00M,392.00M,34.70M,1.481B,832.00M,649.00M,,0.58,,0.0531,0.58,,0.57,,0.0531,0.57,,678.10M,691.20M,,AOR,
2019-12,4.045B,4.045B,2.109B,1.936B,1.463B,5.00M,194.00M,,-194.00M,,1.463B,473.00M,,194.00M,-194.00M,-1.00M,-194.00M,278.00M,54.00M,241.00M,,6.00M,247.00M,242.97M,1.261B,789.00M,472.00M,,0.3633,,0.3574,0.3633,,0.36,,0.3542,0.36,,680.30M,694.80M,,AOR,
2019-09,3.128B,3.128B,1.617B,1.511B,1.137B,0.00,164.00M,,-115.00M,,1.137B,374.00M,,164.00M,-115.00M,-3.00M,-115.00M,256.00M,53.00M,225.00M,,-27.00M,198.00M,198.00M,991.00M,571.00M,420.00M,,0.34,,0.34,0.34,,0.33,,0.33,0.33,,584.80M,596.90M,,AOR,Restated
2019-06,1.512B,1.512B,785.00M,727.00M,343.00M,0.00,58.00M,,-95.00M,,343.00M,384.00M,,58.00M,-95.00M,2.00M,-95.00M,291.00M,60.00M,223.00M,,0.00,223.00M,223.00M,495.00M,146.00M,349.00M,,0.57,,0.57,0.57,,0.56,,0.56,0.56,,392.50M,399.60M,,AOR,Restated
2019-03,1.502B,1.502B,798.00M,704.00M,341.00M,10.00M,57.00M,,-116.00M,,341.00M,363.00M,,57.00M,-116.00M,11.00M,-116.00M,258.00M,31.00M,225.00M,,0.00,225.00M,216.19M,460.00M,145.00M,315.00M,,0.58,,0.5575,0.58,,0.56,,0.5379,0.56,,391.70M,399.10M,,AOR,Restated
2018-12,1.551B,1.551B,822.00M,729.00M,298.00M,0.00,55.00M,,-61.00M,,298.00M,431.00M,,55.00M,-61.00M,2.00M,-61.00M,372.00M,88.00M,286.00M,,0.00,286.00M,286.00M,574.00M,147.00M,427.00M,,0.7287,0.00,0.7287,0.7287,,0.71,0.00,0.71,0.71,,396.80M,405.00M,,AOR,Restated
2018-09,1.412B,1.412B,749.00M,663.00M,305.00M,-2.00M,45.00M,,-53.00M,,305.00M,358.00M,,45.00M,-53.00M,-1.00M,-53.00M,304.00M,78.00M,227.00M,,0.00,227.00M,228.49M,483.00M,134.00M,349.00M,,0.56,,0.5637,0.56,,0.55,,0.5536,0.55,,403.80M,412.00M,,AOR,Restated
2018-06,1.42B,1.42B,739.00M,681.00M,320.00M,-3.00M,45.00M,,-45.00M,,320.00M,361.00M,,45.00M,-45.00M,-3.00M,-45.00M,316.00M,72.00M,251.00M,,,251.00M,253.31M,492.00M,131.00M,361.00M,,0.61,,0.6157,0.61,,0.60,,0.6055,0.60,,408.40M,416.40M,,AOR,Restated
2018-03,1.44B,1.44B,759.00M,681.00M,305.00M,232.00M,45.00M,,-45.00M,,305.00M,376.00M,,45.00M,-45.00M,232.00M,-45.00M,563.00M,140.00M,423.00M,,,423.00M,248.77M,741.00M,133.00M,608.00M,,1.02,,0.5982,1.02,,1.00,,0.5867,1.00,,413.10M,421.60M,,AOR,Restated
2017-12,1.516B,1.516B,778.00M,738.00M,313.00M,0.00,44.00M,,-44.00M,,313.00M,425.00M,,44.00M,-44.00M,-1.00M,-44.00M,380.00M,-151.00M,532.00M,,,546.00M,532.00M,523.00M,99.00M,424.00M,,1.281,0.0337,1.281,1.315,,1.25,0.0337,1.25,1.285,,416.30M,425.00M,,AOR,Restated
2017-09,1.40B,1.40B,746.00M,654.00M,284.00M,0.00,45.00M,,-45.00M,,284.00M,370.00M,,45.00M,-45.00M,0.00,-45.00M,325.00M,98.00M,232.00M,,,232.00M,232.00M,481.00M,111.00M,370.00M,,0.55,,0.55,0.55,,0.54,,0.54,0.54,,420.20M,429.10M,,AOR,Restated
2017-06,1.386B,1.386B,748.00M,638.00M,276.00M,10.00M,44.00M,,-44.00M,,276.00M,362.00M,,44.00M,-44.00M,12.00M,-44.00M,330.00M,109.00M,221.00M,,,221.00M,214.28M,485.00M,111.00M,374.00M,,0.52,,0.5041,0.52,,0.51,,0.4945,0.51,,423.60M,432.50M,,AOR,Restated
2017-03,1.394B,1.394B,752.00M,642.00M,277.00M,0.00,42.00M,,-42.00M,,277.00M,365.00M,,42.00M,-42.00M,0.00,-42.00M,323.00M,102.00M,247.00M,,,247.00M,247.00M,473.00M,108.00M,365.00M,,0.58,,0.58,0.58,,0.56,,0.56,0.56,,429.10M,438.50M,,AOR,Restated
2016-12,1.431B,1.431B,761.00M,670.00M,295.00M,0.00,35.00M,,-35.00M,,295.00M,375.00M,,35.00M,-35.00M,0.00,-35.00M,333.00M,119.00M,215.00M,,,215.00M,215.00M,483.00M,115.00M,368.00M,,0.4988,,0.4988,0.4988,,0.49,,0.49,0.49,,432.80M,440.00M,,AOR,Restated
2016-09,1.38B,1.38B,737.00M,643.00M,274.00M,0.00,41.00M,0.00,-41.00M,,274.00M,369.00M,0.00,41.00M,-41.00M,0.00,-41.00M,328.00M,114.00M,214.00M,,,214.00M,214.00M,473.00M,104.00M,369.00M,,0.49,,0.49,0.49,,0.48,,0.48,0.48,,438.40M,445.40M,,AOR,Restated
2016-06,1.363B,1.363B,727.00M,636.00M,274.00M,0.00,40.00M,0.00,-40.00M,,274.00M,362.00M,0.00,40.00M,-40.00M,0.00,-40.00M,322.00M,110.00M,212.00M,,,212.00M,212.00M,464.00M,102.00M,362.00M,,0.475,,0.475,0.475,,0.47,,0.47,0.47,,444.00M,451.20M,,AOR,Restated
2016-03,1.331B,1.331B,734.00M,597.00M,258.00M,,47.00M,,-47.00M,,258.00M,339.00M,,47.00M,-47.00M,,-47.00M,292.00M,149.00M,289.00M,,,289.00M,289.00M,439.00M,100.00M,339.00M,,0.65,,0.65,0.65,,0.635,,0.635,0.635,,447.00M,454.60M,,AOR,Restated
2015-12,1.368B,1.368B,763.00M,605.00M,276.00M,0.00,39.00M,0.00,-39.00M,,276.00M,329.00M,0.00,39.00M,-39.00M,0.00,-39.00M,290.00M,98.00M,189.00M,,,189.00M,189.00M,434.00M,105.00M,329.00M,,0.4194,0.00,0.4194,0.4194,,0.405,0.00,0.405,0.405,,455.20M,463.40M,,AOR,Restated
2015-09,1.313B,1.313B,713.00M,600.00M,258.00M,0.00,41.00M,0.00,-41.00M,,258.00M,342.00M,0.00,41.00M,-41.00M,,-41.00M,301.00M,117.00M,218.00M,,,218.00M,218.00M,448.00M,106.00M,342.00M,,0.47,,0.47,0.47,,0.46,,0.46,0.46,,465.80M,474.00M,,AOR,Restated
2015-06,1.298B,1.298B,710.00M,588.00M,262.00M,-85.00M,49.00M,0.00,-49.00M,,262.00M,326.00M,0.00,49.00M,-49.00M,-85.00M,-49.00M,192.00M,66.00M,127.00M,,,127.00M,182.78M,345.00M,104.00M,241.00M,,0.27,,0.3879,0.27,,0.265,,0.3810,0.265,,473.00M,480.80M,,AOR,Restated
2015-03,1.275B,1.275B,723.00M,552.00M,238.00M,,41.00M,1.00M,-40.00M,,238.00M,314.00M,1.00M,41.00M,-40.00M,,-40.00M,274.00M,96.00M,178.00M,,,178.00M,178.00M,417.00M,102.00M,315.00M,,0.375,,0.375,0.375,,0.365,,0.365,0.365,,477.60M,486.00M,,AOR,Restated
2014-12,1.316B,1.316B,752.00M,564.00M,247.00M,0.00,41.00M,0.00,-41.00M,,247.00M,317.00M,0.00,41.00M,-41.00M,,-41.00M,276.00M,97.00M,181.00M,0.00,,181.00M,181.00M,421.00M,104.00M,317.00M,,0.3766,0.00,0.3766,0.3766,,0.365,0.00,0.365,0.365,,485.80M,494.00M,,AOR,Restated
2014-09,1.263B,1.263B,705.00M,558.00M,243.00M,0.00,41.00M,0.00,-41.00M,,243.00M,315.00M,0.00,41.00M,-41.00M,,-41.00M,274.00M,120.00M,239.00M,0.00,,239.00M,239.00M,416.00M,101.00M,315.00M,,0.48,0.00,0.48,0.48,,0.475,0.00,0.475,0.475,,495.20M,503.60M,,AOR,Restated
2014-06,1.253B,1.253B,703.00M,550.00M,243.00M,0.00,41.00M,1.00M,-40.00M,,243.00M,307.00M,1.00M,41.00M,-40.00M,,-40.00M,267.00M,101.00M,166.00M,0.00,,166.00M,166.00M,407.00M,99.00M,308.00M,,0.33,0.00,0.33,0.33,,0.325,0.00,0.325,0.325,,498.60M,506.80M,,AOR,Restated
2014-03,1.234B,1.234B,721.00M,513.00M,242.00M,,41.00M,0.00,-41.00M,,242.00M,271.00M,0.00,41.00M,-41.00M,,-41.00M,230.00M,66.00M,168.00M,0.00,,168.00M,168.00M,371.00M,100.00M,271.00M,,0.33,0.00,0.33,0.33,,0.325,0.00,0.325,0.325,,508.80M,517.20M,,AOR,Restated
2013-12,1.263B,1.263B,700.00M,563.00M,266.00M,,40.00M,,-40.00M,,266.00M,297.00M,,40.00M,-40.00M,,-40.00M,257.00M,110.00M,220.00M,1.00M,,221.00M,220.00M,399.00M,102.00M,297.00M,,0.4285,0.0019,0.4285,0.4305,,0.4285,0.00,0.4285,0.4305,,515.80M,523.80M,,AOR,Restated
2013-09,1.201B,1.201B,684.00M,517.00M,237.00M,,41.00M,0.00,-41.00M,,237.00M,280.00M,0.00,41.00M,-41.00M,,-41.00M,239.00M,79.00M,161.00M,-2.00M,,159.00M,161.00M,381.00M,101.00M,280.00M,,0.31,-0.005,0.31,0.305,,0.305,-0.005,0.305,0.30,,519.80M,527.40M,,AOR,Restated
2013-06,1.198B,1.198B,680.00M,518.00M,245.00M,,41.00M,0.00,-41.00M,,245.00M,273.00M,0.00,41.00M,-41.00M,,-41.00M,232.00M,81.00M,152.00M,-1.00M,,151.00M,152.00M,376.00M,103.00M,273.00M,,0.285,0.00,0.285,0.285,,0.285,-0.005,0.285,0.28,,530.20M,537.20M,,AOR,Restated
2013-03,1.152B,1.152B,712.00M,440.00M,229.00M,,41.00M,,-41.00M,,229.00M,211.00M,,41.00M,-41.00M,,-41.00M,170.00M,58.00M,117.00M,0.00,,117.00M,117.00M,308.00M,97.00M,211.00M,,0.22,0.00,0.22,0.22,,0.215,0.00,0.215,0.215,,533.60M,540.60M,,AOR,Restated
2012-12,1.145B,1.145B,649.00M,496.00M,209.00M,,39.00M,1.00M,-38.00M,,209.00M,287.00M,1.00M,39.00M,-38.00M,,-38.00M,249.00M,93.00M,158.00M,21.00M,,179.00M,158.00M,376.00M,88.00M,288.00M,,0.2980,0.0375,0.2980,0.3355,,0.295,0.035,0.295,0.33,,533.60M,540.40M,,AOR,Restated
2012-09,1.107B,1.107B,636.00M,471.00M,206.00M,,48.00M,0.00,-48.00M,,206.00M,265.00M,0.00,48.00M,-48.00M,,-48.00M,217.00M,80.00M,140.00M,-1.00M,,139.00M,140.00M,354.00M,89.00M,265.00M,,0.26,-0.0025,0.26,0.2575,,0.2575,-0.0025,0.2575,0.255,,539.60M,546.40M,,AOR,Restated
2012-06,1.087B,1.087B,626.00M,461.00M,204.00M,,44.00M,6.00M,-38.00M,,204.00M,257.00M,6.00M,44.00M,-38.00M,,-38.00M,219.00M,60.00M,162.00M,-1.00M,,161.00M,162.00M,349.00M,86.00M,263.00M,,0.2975,-0.0025,0.2975,0.295,,0.2925,-0.0025,0.2925,0.2925,,544.40M,551.20M,,AOR,Restated
2012-03,1.097B,1.097B,653.00M,444.00M,205.00M,,43.00M,,-43.00M,,205.00M,239.00M,,43.00M,-43.00M,,-43.00M,196.00M,67.00M,132.00M,0.00,,132.00M,132.00M,326.00M,87.00M,239.00M,,0.2375,0.00,0.2375,0.2375,,0.235,0.00,0.235,0.235,,554.80M,562.00M,,AOR,Restated
2011-12,1.113B,1.113B,625.00M,488.00M,213.00M,0.00,44.00M,0.00,-44.00M,,213.00M,275.00M,0.00,44.00M,-44.00M,0.00,-44.00M,231.00M,86.00M,149.00M,-6.00M,,143.00M,149.00M,361.00M,86.00M,275.00M,,0.2659,-0.0107,0.2659,0.2552,,0.2659,-0.0107,0.2659,0.2552,,560.40M,560.40M,,AOR,Restated
2011-09,1.063B,1.063B,631.00M,432.00M,189.00M,-24.00M,45.00M,0.00,-45.00M,,189.00M,243.00M,0.00,45.00M,-45.00M,-24.00M,-45.00M,174.00M,55.00M,127.00M,0.00,,127.00M,143.41M,305.00M,86.00M,219.00M,,0.225,0.00,0.2541,0.225,,0.2225,0.00,0.2513,0.2225,,564.40M,570.40M,,AOR,Restated
2011-06,1.065B,1.065B,624.00M,441.00M,190.00M,-60.00M,49.00M,,-49.00M,,190.00M,251.00M,,49.00M,-49.00M,-60.00M,-49.00M,142.00M,49.00M,97.00M,-7.00M,,90.00M,136.30M,279.00M,88.00M,191.00M,,0.17,-0.0125,0.2389,0.1575,,0.1675,-0.0125,0.2356,0.155,,570.00M,576.80M,,AOR,Restated
2011-03,1.048B,1.048B,624.00M,424.00M,203.00M,,45.00M,,-45.00M,,203.00M,221.00M,,45.00M,-45.00M,,-45.00M,176.00M,64.00M,114.00M,-2.00M,,112.00M,114.00M,306.00M,85.00M,221.00M,,0.195,-0.0025,0.195,0.1925,,0.1925,-0.0025,0.1925,0.19,,583.60M,590.80M,,AOR,Restated
2010-12,1.078B,1.078B,613.00M,465.00M,198.00M,-26.00M,58.00M,,-48.00M,,198.00M,267.00M,,58.00M,-48.00M,,-48.00M,193.00M,77.00M,119.00M,-3.00M,,116.00M,134.63M,338.00M,87.00M,251.00M,,0.2025,-0.005,0.2289,0.1975,,0.20,-0.005,0.2261,0.195,,592.00M,598.40M,,AOR,Restated
2010-09,1.025B,1.025B,589.00M,436.00M,185.00M,0.00,49.00M,,-49.00M,,185.00M,251.00M,,49.00M,-49.00M,,-49.00M,202.00M,73.00M,134.00M,-2.00M,,132.00M,134.00M,336.00M,85.00M,251.00M,,0.225,-0.005,0.225,0.22,,0.2225,-0.005,0.2225,0.2175,,598.80M,603.60M,,AOR,
2010-06,1.022B,1.022B,586.00M,436.00M,185.00M,0.00,46.00M,,-46.00M,,185.00M,251.00M,,46.00M,-46.00M,,-46.00M,205.00M,78.00M,130.00M,-3.00M,,127.00M,130.00M,334.00M,83.00M,251.00M,,0.215,-0.005,0.215,0.21,,0.2125,-0.005,0.2125,0.2075,,605.60M,610.40M,,AOR,
2010-03,1.008B,1.008B,598.00M,410.00M,172.00M,,45.00M,,-45.00M,,172.00M,238.00M,,45.00M,-45.00M,,-45.00M,193.00M,73.00M,123.00M,-2.00M,,121.00M,123.00M,322.00M,84.00M,238.00M,,0.2025,-0.0025,0.2025,0.1975,,0.20,-0.0025,0.20,0.1975,,610.00M,614.80M,,AOR,Restated
2009-12,1.062B,1.062B,611.00M,451.00M,195.00M,,59.00M,,-51.00M,,195.00M,256.00M,,59.00M,-51.00M,,-51.00M,205.00M,79.00M,128.00M,-10.00M,,118.00M,128.00M,349.00M,85.00M,264.00M,,0.2075,-0.0175,0.2075,0.1925,,0.2075,-0.0175,0.2075,0.19,,614.40M,618.00M,,AOR,Restated
2009-09,992.00M,992.00M,579.00M,413.00M,182.00M,,52.00M,,-52.00M,,182.00M,231.00M,,52.00M,-52.00M,,-52.00M,179.00M,60.00M,124.00M,-9.00M,,115.00M,124.00M,315.00M,84.00M,231.00M,,0.20,-0.0125,0.20,0.1875,,0.1975,-0.0125,0.1975,0.185,,615.60M,620.80M,,AOR,Restated
2009-06,1.00B,1.00B,590.00M,410.00M,176.00M,,55.00M,,-55.00M,,176.00M,234.00M,,55.00M,-55.00M,,-55.00M,179.00M,68.00M,115.00M,25.00M,,140.00M,115.00M,317.00M,83.00M,234.00M,,0.185,0.04,0.185,0.225,,0.185,0.04,0.185,0.225,,620.00M,623.20M,,AOR,Restated
2009-03,1.023B,1.023B,600.00M,423.00M,198.00M,,54.00M,,-54.00M,,198.00M,225.00M,,54.00M,-54.00M,,-54.00M,171.00M,66.00M,106.00M,-3.00M,,103.00M,106.00M,306.00M,81.00M,225.00M,,0.17,-0.005,0.17,0.165,,0.17,-0.005,0.17,0.165,,622.00M,624.00M,,AOR,Restated
2008-12,909.00M,909.00M,490.00M,419.00M,182.00M,-40.00M,,,,,163.00M,256.00M,,,,-43.00M,,137.00M,57.00M,83.00M,-21.00M,,62.00M,109.00M,322.00M,74.00M,248.00M,,0.1325,-0.03,0.1736,0.1025,,0.1325,-0.03,0.1736,0.1025,,632.40M,633.20M,,AOR,Restated
2008-09,1.08B,1.08B,662.00M,418.00M,204.00M,19.00M,,,,19.00M,223.00M,195.00M,,,,22.00M,,176.00M,105.00M,74.00M,4.00M,,78.00M,61.65M,285.00M,90.00M,195.00M,,0.1125,0.0075,0.0935,0.12,,0.1125,0.0075,0.0937,0.12,,650.00M,655.20M,,,
2008-06,1.292B,1.292B,849.00M,443.00M,216.00M,,61.00M,,-61.00M,,216.00M,227.00M,,61.00M,-61.00M,,-61.00M,166.00M,64.00M,102.00M,-2.00M,,100.00M,102.00M,323.00M,96.00M,227.00M,,0.155,-0.0025,0.155,0.1525,,0.155,-0.0025,0.155,0.15,,653.60M,659.20M,,,Restated
2008-03,1.31B,1.31B,872.00M,438.00M,212.00M,,,,,,212.00M,226.00M,,,,,,158.00M,61.00M,97.00M,232.00M,,329.00M,97.00M,316.00M,90.00M,226.00M,,0.1475,0.355,0.1475,0.50,,0.145,0.35,0.145,0.4975,,656.00M,661.60M,,,
