,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.673B,1.673B,26.00M,593.00M,619.00M,,-27.00M,592.00M,6.00M,1.006B,737.00M,121.00M,616.00M,,,616.00M,638.54M,,792.00M,,0.61,,,0.6335,0.61,,0.61,,,0.6334,0.61,,960.00M,965.00M,0.155,,AOR,
2020-09,1.643B,1.643B,,525.00M,525.00M,,,525.00M,3.00M,988.00M,634.00M,104.00M,530.00M,,29.00M,530.00M,530.00M,132.00M,705.00M,,0.52,,,0.52,0.52,,0.52,,,0.52,0.52,,960.00M,962.00M,0.155,,AOR,
2020-06,1.545B,1.545B,,527.00M,527.00M,,,527.00M,1.00M,972.00M,-261.00M,-47.00M,-214.00M,,23.00M,-214.00M,-214.00M,128.00M,-170.00M,,-0.25,,,-0.25,-0.25,,-0.25,,,-0.25,-0.25,,960.00M,960.00M,0.155,,AOR,
2020-03,1.413B,1.413B,,467.00M,467.00M,,,467.00M,0.00,928.00M,204.00M,42.00M,162.00M,,23.00M,162.00M,162.00M,100.00M,355.00M,,0.15,,,0.15,0.15,,0.14,,,0.14,0.14,,957.00M,961.00M,0.155,,AOR,
2019-12,1.455B,1.455B,,536.00M,633.00M,,,633.00M,-2.00M,961.00M,487.00M,98.00M,389.00M,,23.00M,389.00M,389.00M,105.00M,667.00M,,0.38,,,0.38,0.38,,0.37,,,0.37,0.37,,965.00M,966.00M,0.155,,AOR,
2019-09,1.495B,1.495B,,481.00M,481.00M,,,481.00M,0.00,937.00M,516.00M,107.00M,409.00M,,24.00M,409.00M,409.00M,109.00M,729.00M,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,988.00M,991.00M,0.155,,AOR,Restated
2019-06,1.436B,1.436B,,469.00M,469.00M,,,469.00M,-19.00M,942.00M,483.00M,93.00M,390.00M,,16.00M,390.00M,390.00M,107.00M,718.00M,,0.37,,,0.37,0.37,,0.37,,,0.37,0.37,,1.01B,1.012B,0.14,,AOR,Restated
2019-03,1.45B,1.45B,,478.00M,478.00M,,,478.00M,-7.00M,948.00M,499.00M,105.00M,394.00M,,16.00M,394.00M,394.00M,105.00M,722.00M,,0.37,,,0.37,0.37,,0.37,,,0.37,0.37,,1.019B,1.028B,0.14,,AOR,Restated
2018-12,1.394B,1.394B,,553.00M,645.00M,12.00M,,657.00M,0.00,970.00M,491.00M,85.00M,406.00M,0.00,16.00M,406.00M,406.00M,107.00M,679.00M,,0.38,0.00,,0.38,0.38,,0.37,0.00,,0.37,0.37,,1.035B,1.045B,0.14,,AOR,Restated
2018-09,1.475B,1.475B,,473.00M,473.00M,14.00M,,487.00M,0.00,956.00M,455.00M,85.00M,370.00M,194.00M,16.00M,564.00M,370.00M,116.00M,611.00M,,0.33,0.18,,0.33,0.50,,0.32,0.18,,0.32,0.50,,1.086B,1.095B,0.14,,AOR,Restated
2018-06,1.452B,1.452B,,511.00M,511.00M,14.00M,,525.00M,1.00M,940.00M,467.00M,89.00M,378.00M,-3.00M,16.00M,375.00M,378.00M,118.00M,603.00M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,1.119B,1.128B,0.09,,AOR,Restated
2018-03,1.432B,1.432B,,495.00M,495.00M,16.00M,,511.00M,0.00,925.00M,542.00M,128.00M,414.00M,0.00,16.00M,414.00M,414.00M,121.00M,664.00M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,1.127B,1.141B,0.09,,AOR,Restated
2017-12,1.384B,1.384B,,587.00M,680.00M,17.00M,,697.00M,10.00M,918.00M,541.00M,221.00M,320.00M,15.00M,16.00M,335.00M,320.00M,127.00M,643.00M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,1.153B,1.165B,0.09,,AOR,Restated
2017-09,1.397B,1.397B,,464.00M,464.00M,18.00M,,482.00M,8.00M,915.00M,450.00M,138.00M,312.00M,-1.00M,16.00M,311.00M,312.00M,136.00M,547.00M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,1.182B,1.193B,0.09,,AOR,Restated
2017-06,1.39B,1.39B,,470.00M,470.00M,18.00M,,488.00M,1.00M,900.00M,449.00M,133.00M,316.00M,,16.00M,316.00M,316.00M,134.00M,538.00M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,1.202B,1.212B,0.07,,AOR,Restated
